"id","format","org_filename","saved_filename","created_by","path","lesson_id","storage","source","cover"
"1","video","https://myplanet.enseval.com/video/new_all/New_Revisi_Neop_Agustus_2022_1.mp4",\N,\N,\N,"1","local","<video id=""video1"" style=""width:1000px;max-width:100%;max-height:100%;"" controls autoplay controlsList=""nodownload"">
    <source src=""https://myplanet.enseval.com/video/Neop_2022-1.mp4"" type=""video/mp4"">
</video>

<style type=""text/css"">

div#contentarea {
    border: none !important;
    width: 100% !important;
}
#video1 {
	display: block;
	margin : auto

</style>",\N
"2","video","https://myplanet.enseval.com/video/ELearningneop5r.mp4",\N,\N,\N,"2","local","<video id=""video1"" style=""width:1000px;max-width:100%;max-height:100%;"" controls autoplay controlsList=""nodownload"">
    <source src=""https://myplanet.enseval.com/video/ELearningneop5r.mp4"" type=""video/mp4"">
</video>

<style type=""text/css"">

div#contentarea {
    border: none !important;
    width: 100% !important;
}
#video1 {
	display: block;
	margin : auto

</style>",\N
"3","video","https://myplanet.enseval.com/video/safetysecurityneop.mp4",\N,\N,\N,"3","local","<video id=""video1"" style=""width:1000px;max-width:100%;max-height:100%;"" controls autoplay controlsList=""nodownload"">
    <source src=""https://myplanet.enseval.com/video/safetysecurityneop.mp4"" type=""video/mp4"">
</video>

<style type=""text/css"">

div#contentarea {
    border: none !important;
    width: 100% !important;
}
#video1 {
	display: block;
	margin : auto

</style>",\N
"4","post_test","https://myplanet.enseval.com/post_test_dev/neop_general/index.php",\N,\N,"idl=4","4","local","<iframe src=""https://myplanet.enseval.com/post_test_dev/neop_general/prep.php"" id=""video1"" style=""width:1000px;height:550px;max-width:100%;max-height:100%;""></iframe>",\N
"5","video","https://myplanet.enseval.com/video/DigitalAwareness03-04-2018.mp4",\N,\N,\N,"5","local","<video id=""video1"" style=""width: 1000px; max-width: 100%; max-height: 100%;"" autoplay=""autoplay"" data-mce-style=""width: 1000px; max-width: 100%; max-height: 100%;"">",\N
"6","post_test","https://myplanet.enseval.com/post_test_dev/digital_awareness/index.php",\N,\N,"idl=6","6","local","<iframe src=""https://myplanet.enseval.com/post_test_dev/digital_awareness/prep?idl=y_AzkNZWhMTHsQc-6zgPcsU"" id=""video1"" style=""width:1000px;height:550px;max-width:100%;max-height:100%;""></iframe>

<style type=""text/css"">


#video1 {
	display: block;
	margin : auto

</style>",\N
"7","other","https://myplanet.enseval.com/peraturan_perusahaan_new/index/peraturan_perusahaan/",\N,\N,\N,"7","local","<iframe id=""video1"" width=""1280"" max-width=""100%"" height=""650"" src=""https://myplanet.enseval.com/peraturan_perusahaan_new/index/peraturan_perusahaan/""></iframe>

<style type=""text/css"">

div#contentarea {
    border: none !important;
    margin: auto !important;
    width: inherit;
}

#video1 {

	display: block;
	margin : auto;
}


</style>",\N
"8","video","https://myplanet.enseval.com/video/grooming_2019.mp4",\N,\N,\N,"8","local","<video id=""video1"" width=""1280"" max-width=""100%"" height=""650"" autoplay controls controlsList=""nodownload"">
    <source src=""https://myplanet.enseval.com/video/grooming_2019.mp4"" type=""video/mp4"">
</video>

<style type=""text/css"">

div#contentarea {
    border: none !important;
    margin: auto !important;
    width: inherit;
}

#video1 {

	display: block;
	margin : auto;
}


</style>",\N
"9","post_test","https://myplanet.enseval.com/post_test_dev/peraturan_perusahaan_grooming/index.php",\N,\N,"idl=9","9","local","<iframe src=""https://myplanet.enseval.com/post_test_dev/peraturan_perusahaan_grooming/prep?idl=0UBQvpLx2_yrkUZFz7-GqMo"" id=""video1"" style=""width:1000px;height:550px;max-width:100%;max-height:100%;""></iframe>

<style type=""text/css"">


#video1 {
	display: block;
	margin : auto

</style>",\N
"10","video","https://myplanet.enseval.com/video/DigitalAwarenessSeries2.mp4",\N,\N,\N,"10","local","<iframe src=""https://myplanet.enseval.com/video/DigitalAwarenessSeries2.mp4"" width=""1280"" max-width=""100%"" height=""650"" frameborder=""0"" allowfullscreen controls disabledownload=""true""></iframe>

<style type=""text/css"">

div#contentarea {
    border: none !important;
    margin: auto !important;
    width: inherit;
}

#video1 {

	display: block;
	margin : auto;
}


</style>",\N
"11","post_test","https://myplanet.enseval.com/post_test_dev/digital_awareness_series2/index.php",\N,\N,"idl=11","11","local","<iframe src=""https://myplanet.enseval.com/post_test_dev/digital_awareness_series2/prep?idl=_rl-EzENydKWiIuiss2R-sK9"" id=""video1"" style=""width:1000px;height:550px;max-width:100%;max-height:100%;""></iframe>

<style type=""text/css"">


#video1 {
	display: block;
	margin : auto

</style>",\N
"12","other","https://myplanet.enseval.com/booksaku/index/bukusaku_tsunami_only_zoom",\N,\N,\N,"12","local","<iframe src=""https://myplanet.enseval.com/booksaku/index/bukusaku_tsunami_only_zoom"" width=""1280"" max-width=""100%"" height=""650"" frameborder=""0"" allowfullscreen controls disabledownload=""true""></iframe>

<style type=""text/css"">

div#contentarea {
    border: none !important;
    margin: auto !important;
    width: inherit;
}

#video1 {

	display: block;
	margin : auto;
}


</style>",\N
"13","post_test","https://myplanet.enseval.com/post_test_dev/safety_security2019/index.php",\N,\N,"idl=13","13","local","<iframe src=""https://myplanet.enseval.com/post_test/safety_security2018/prep?idl=HFY4hUMlOlytsH6ItfX6w8K_"" id=""video1"" style=""width:1000px;height:550px;max-width:100%;max-height:100%;""></iframe>

<style type=""text/css"">


#video1 {
	display: block;
	margin : auto

</style>",\N
"14","video","https://myplanet.enseval.com/video/Panca_Sradha_Trust041818.mp4",\N,\N,\N,"14","local","<video id=""video1"" style=""width: 1000px; max-width: 100%; max-height: 100%;"" autoplay=""autoplay"" data-mce-style=""width: 1000px; max-width: 100%; max-height: 100%;"" controls controlsList=""nodownload"" preload=""metadata"" >
    <source src=""https://myplanet.enseval.com/video/Panca_Sradha_Trust041818.mp4"" type=""video/mp4"">
</video>

<style type=""text/css"">

div#contentarea {
    border: none !important;
    margin: auto !important;
    width: inherit;
}

#video1 {

	display: block;
	margin : auto;
}


</style>
",\N
"15","video","https://myplanet.enseval.com/video/Mindfullness_PAA.mp4",\N,\N,\N,"15","local","<video id=""video1"" style=""width: 1000px; max-width: 100%; max-height: 100%;"" autoplay=""autoplay"" data-mce-style=""width: 1000px; max-width: 100%; max-height: 100%;"" controls controlsList=""nodownload"" preload=""metadata"" >
    <source src=""https://myplanet.enseval.com/video/Mindfullness_PAA.mp4"" type=""video/mp4"">
</video>


<style type=""text/css"">

div#contentarea {
    border: none !important;
    margin: auto !important;
    width: inherit;
}

#video1 {

	display: block;
	margin : auto;
}


</style>
",\N
"16","video","https://myplanet.enseval.com/video/Innovation_HHM.mp4",\N,\N,\N,"16","local","<video id=""video1"" style=""width: 1000px; max-width: 100%; max-height: 100%;"" autoplay=""autoplay"" data-mce-style=""width: 1000px; max-width: 100%; max-height: 100%;"" controls controlsList=""nodownload"" preload=""metadata"" >
    <source src=""https://myplanet.enseval.com/video/Innovation_HHM.mp4"" type=""video/mp4"">
</video>

<style type=""text/css"">

div#contentarea {
    border: none !important;
    margin: auto !important;
    width: inherit;
}

#video1 {

	display: block;
	margin : auto;
}


</style>
",\N
"17","video","https://myplanet.enseval.com/video/Strive_to_be_the_best.mp4",\N,\N,\N,"17","local","<video id=""video1"" style=""width: 1000px; max-width: 100%; max-height: 100%;"" autoplay=""autoplay"" data-mce-style=""width: 1000px; max-width: 100%; max-height: 100%;"" controls controlsList=""nodownload"" preload=""metadata"" >
    <source src=""https://myplanet.enseval.com/video/Strive_to_be_the_best.mp4"" type=""video/mp4"">
</video>

<style type=""text/css"">

div#contentarea {
    border: none !important;
    margin: auto !important;
    width: inherit;
}

#video1 {

	display: block;
	margin : auto;
}


</style>
",\N
