id_ensight,hits,judul
1,56,Pengaturan PKWT & PHK  <br> Yuli Adiratna SH Mhum.
10,58,Literasi Digital <br> DR.Joseph M J RENWARIN
11,1,Go Beyond Thought Active Reskilling
2,5,Manage People <br> Hendra Tanumihardja
3,25,"Leaders Innovation Forum : Manage IT, Jayaprawirya Diah"
4,6,Forum K3 : Training APAR
5,20,Beyond Process Creative & inovative<br> Stanley Handiono
6,30,Penerapan Tekhnologi Pada Transportasi<br>DR IR Berty Argiyantari MM CISCP
7,18,"Be The Winner In Midst Of Uncertainties<br> Prof. Rhenald Kasali, Ph.D."
8,19,Reach To Next Level<br>Haryanto Kandani
9,23,Be Unstopable<br> louis sastrawijaya
