id,id_podtret,parent_id,nik,comment,timestamp,,,,,,,,,
1,4,1,70300173,setuju banget.... kekeluargaan di enseval tu terasa banget dan bersyukur bisa kerja di enseval yang dinamis ,2022-04-22 11:28:00,,,,,,,,,
2,3,2,100400349,coba ya...,2022-05-18 16:02:00,,,,,,,,,
3,1,3,170300124,Tes a,2022-05-21 01:28:00,,,,,,,,,
4,2,4,170300124,tes,2022-05-24 01:41:00,,,,,,,,,
5,20,5,990900057,Budaya silaturahmi harus tetap dijaga,2022-05-26 11:04:00,,,,,,,,,
6,24,6,960600073,Good,2022-05-28 08:59:00,,,,,,,,,
7,24,7,220300382,Kereeen,2022-05-28 09:39:00,,,,,,,,,
8,24,8,220300382,Kereeen,2022-05-28 09:39:00,,,,,,,,,
9,24,9,220300382,Kereeen,2022-05-28 09:39:00,,,,,,,,,
10,24,10,31101119,semakin mudah sekarang untuk nonton PODTRET... Dimanapun  kapanpun... Mantap. ,2022-05-28 10:25:00,,,,,,,,,
11,7,11,101100991,Mantep deh quote nya GSM Kami ini  hehe applause untuk Pak Recky Nusaly…,2022-05-28 14:34:00,,,,,,,,,
12,24,12,101100991,nice ..,2022-05-28 14:56:00,,,,,,,,,
13,24,13,211101279,Mantap,2022-05-30 07:21:00,,,,,,,,,
14,24,14,210700723,Nice,2022-05-31 13:51:00,,,,,,,,,
15,25,15,130501892,Enseval maju,2022-05-31 14:42:00,,,,,,,,,
16,25,16,130501892,Enseval era digital,2022-05-31 14:43:00,,,,,,,,,
17,24,17,50100010,mantab podtret terus maju dan berkembang untuk kemajuan SDM dan perusahaan ...Gaskeuunn terus maju dan berkembang untuk kemajuan SDM dan perusahaan ...Gaskeuunn,2022-05-31 15:40:00,,,,,,,,,
18,24,18,130301093,Mantab,2022-06-01 12:46:00,,,,,,,,,
19,24,19,130301093,Mantab,2022-06-01 12:46:00,,,,,,,,,
20,1,20,170300124,tes b,2022-06-01 15:15:00,,,,,,,,,
21,1,21,170300124,tes c,2022-06-01 15:16:00,,,,,,,,,
22,24,22,180500487,Dengerin podtret sambil kerja makin enjoyyy,2022-06-02 11:09:00,,,,,,,,,
23,15,23,130602035,interaksi ceritanya seru banget.,2022-06-02 11:58:00,,,,,,,,,
24,24,24,130601956,Niceeee.... <3,2022-06-02 15:46:00,,,,,,,,,
25,24,25,50600237,good,2022-06-03 15:30:00,,,,,,,,,
26,24,26,50600237,good,2022-06-03 15:30:00,,,,,,,,,
27,26,27,80600542,Sip banget ilmunya,2022-06-04 15:16:00,,,,,,,,,
28,26,28,131002614,keep learning :),2022-06-04 15:17:00,,,,,,,,,
29,26,29,80600542,Klo boleh usul di cabang terkadang perlu di adakan kegiatan dimana itu bisa membangun dan menyamakan visi misi perusahaan kepada karyawan.,2022-06-04 15:18:00,,,,,,,,,
30,26,30,80600542,Kegiatan yg menyatukan semua karyawan kembali ke rel visi misi perusahaan,2022-06-04 15:18:00,,,,,,,,,
31,26,31,190900887,Berisi semua pembahasan nya terima kasih banyak,2022-06-05 12:49:00,,,,,,,,,
32,26,32,101201079,Semoga kualotas pembahasan Bisa menjadi Kualitas Peberapan,2022-06-06 18:32:00,,,,,,,,,
34,1,34,170300124,tes d,2022-06-07 17:32:00,,,,,,,,,
35,27,35,30200223,Mantap ,2022-06-10 17:09:00,,,,,,,,,
36,27,36,31101119,Makasih.. ,2022-06-10 18:31:00,,,,,,,,,
37,27,37,220300402,Oke sekali mantap,2022-06-10 18:36:00,,,,,,,,,
38,27,38,30700794,Sipppp ,2022-06-10 18:40:00,,,,,,,,,
39,27,39,130300737,Luar Biasa,2022-06-10 19:45:00,,,,,,,,,
40,27,40,220600846,Nicee,2022-06-10 22:29:00,,,,,,,,,
41,27,41,130702275,mantap,2022-06-11 07:26:00,,,,,,,,,
42,27,42,180600513,naisee,2022-06-11 07:59:00,,,,,,,,,
43,27,43,90500327,jgn sampai kyk itu......,2022-06-11 08:18:00,,,,,,,,,
44,27,44,130300808,Mantap,2022-06-11 18:33:00,,,,,,,,,
45,27,45,940800084,Mantap,2022-06-13 05:04:00,,,,,,,,,
46,27,46,940800084,Mantap,2022-06-13 05:04:00,,,,,,,,,
47,27,47,80800639,NICE,2022-06-13 08:11:00,,,,,,,,,
48,27,48,20400803,Top markotop,2022-06-13 08:17:00,,,,,,,,,
49,27,49,991000070,NICE,2022-06-13 08:30:00,,,,,,,,,
50,27,50,120600956,Informasi yang bagus untuk wawasan,2022-06-13 08:40:00,,,,,,,,,
51,27,51,960100018,NICE,2022-06-13 08:44:00,,,,,,,,,
52,20,52,101100992,Wuenaaak kirimin pak Oki biar bisa ngerasain jga :),2022-06-13 09:54:00,,,,,,,,,
53,15,53,101100992,Seru nih ,2022-06-13 10:06:00,,,,,,,,,
55,27,55,160200082,Info yang menarik dan perlu menjadi perhatian kita semua...,2022-06-13 10:55:00,,,,,,,,,
56,1,34,admin.myplanet,tes reply,2022-06-13 11:06:00,,,,,,,,,
57,27,57,20601173,Mantap,2022-06-13 11:08:00,,,,,,,,,
58,27,58,20601173,Mantap,2022-06-13 11:08:00,,,,,,,,,
59,27,59,20601173,Mantap,2022-06-13 11:08:00,,,,,,,,,
60,27,60,20601173,Mantap,2022-06-13 11:08:00,,,,,,,,,
