id,id_podtret,nik,hits,timestamp
16039,62,100018,1,2023-01-31 9:19:29
14174,61,100018,1,2023-01-11 13:13:4
15736,52,100018,1,2023-01-28 9:17:40
16045,62,100018,1,2023-01-31 9:54:9
8314,45,100018,1,2022-10-24 14:38:16
6306,41,100018,1,2022-09-17 12:6:20
8890,48,100018,1,2022-10-31 9:16:54
572,27,100018,1,2022-06-11 9:0:33
16040,62,100018,1,2023-01-31 9:19:39
5337,39,100018,1,2022-08-31 13:15:53
12478,58,100018,1,2022-12-19 10:11:31
5602,40,100018,1,2022-09-06 13:34:43
15735,52,100018,1,2023-01-28 9:17:39
8312,46,100018,1,2022-10-24 12:59:49
10989,52,100018,1,2022-11-30 10:43:12
10359,50,100018,1,2022-11-19 11:48:57
6307,41,100018,1,2022-09-17 12:6:25
12453,53,100018,1,2022-12-19 9:15:23
12452,53,100018,1,2022-12-19 9:15:1
10445,51,100018,1,2022-11-21 11:22:31
10358,50,100018,1,2022-11-19 11:48:53
8888,47,100018,1,2022-10-31 9:16:35
573,27,100018,1,2022-06-11 9:0:33
13448,59,100018,1,2022-12-30 9:43:12
8298,44,100018,1,2022-10-24 12:25:41
16047,64,100018,1,2023-01-31 9:54:38
16043,62,100018,1,2023-01-31 9:27:58
5343,38,100018,1,2022-08-31 13:38:34
12477,58,100018,1,2022-12-19 10:11:5
16048,64,100018,1,2023-01-31 9:54:53
12466,54,100018,1,2022-12-19 9:46:25
8297,44,100018,1,2022-10-24 12:25:31
6923,43,100018,1,2022-09-30 9:20:27
12476,58,100018,1,2022-12-19 10:11:4
5357,38,100018,1,2022-08-31 14:9:29
568,27,100018,1,2022-06-11 8:44:5
570,27,100018,1,2022-06-11 8:44:34
9646,48,100018,1,2022-11-10 10:51:1
13449,59,100018,1,2022-12-30 9:43:23
9648,49,100018,1,2022-11-10 10:51:40
16046,64,100018,1,2023-01-31 9:54:36
5366,37,100018,1,2022-08-31 14:45:59
8311,46,100018,1,2022-10-24 12:59:39
5365,37,100018,1,2022-08-31 14:45:56
5601,40,100018,1,2022-09-06 13:34:40
5338,39,100018,1,2022-08-31 13:15:56
5364,39,100018,1,2022-08-31 14:45:43
5342,38,100018,1,2022-08-31 13:38:26
12465,54,100018,1,2022-12-19 9:46:24
5373,38,100018,1,2022-08-31 15:16:9
569,27,100018,1,2022-06-11 8:44:34
6309,42,100018,1,2022-09-17 12:41:53
6924,43,100018,1,2022-09-30 9:21:13
8856,47,100018,1,2022-10-29 13:14:26
10446,51,100018,1,2022-11-21 11:22:44
8315,45,100018,1,2022-10-24 14:38:33
9647,49,100018,1,2022-11-10 10:51:29
8857,47,100018,1,2022-10-29 13:16:53
8889,44,100018,1,2022-10-31 9:16:48
12467,54,100018,1,2022-12-19 9:46:29
8891,48,100018,1,2022-10-31 9:17:22
8844,46,100018,1,2022-10-29 12:36:33
14177,61,100018,1,2023-01-11 13:20:44
16044,62,100018,1,2023-01-31 9:54:3
14170,60,100018,1,2023-01-11 13:0:4
8843,45,100018,1,2022-10-29 12:35:51
12451,53,100018,1,2022-12-19 9:14:59
14168,60,100018,1,2023-01-11 12:35:23
6346,42,100018,1,2022-09-19 10:29:40
13447,59,100018,1,2022-12-30 9:43:12
10988,52,100018,1,2022-11-30 10:43:4
14169,60,100018,1,2023-01-11 12:36:19
14173,61,100018,1,2023-01-11 13:12:48
6308,42,100018,1,2022-09-17 12:41:48
15686,63,200029,1,2023-01-27 10:14:52
15685,63,200029,1,2023-01-27 10:14:50
5908,35,200031,1,2022-09-10 21:31:5
5910,35,200031,1,2022-09-10 21:34:5
11550,42,200031,1,2022-12-05 22:54:32
11549,42,200031,1,2022-12-05 22:54:28
5909,35,200031,1,2022-09-10 21:32:19
11554,31,200031,1,2022-12-05 22:56:32
11553,31,200031,1,2022-12-05 22:56:31
1939,31,200035,1,2022-07-07 18:9:10
10385,51,200035,1,2022-11-19 15:12:3
8152,41,200035,1,2022-10-22 15:24:50
9967,50,200035,1,2022-11-14 16:44:29
11514,53,200035,1,2022-12-05 17:16:22
10906,52,200035,1,2022-11-28 17:2:53
7461,46,200035,1,2022-10-17 17:10:35
9120,48,200035,1,2022-11-02 17:21:44
7462,44,200035,1,2022-10-17 17:10:50
1938,29,200035,1,2022-07-07 17:49:28
2655,32,200035,1,2022-07-18 17:48:33
9604,49,200035,1,2022-11-09 17:3:5
7183,44,200035,1,2022-10-10 17:26:59
11513,53,200035,1,2022-12-05 17:16:21
7182,45,200035,1,2022-10-10 17:3:9
8151,47,200035,1,2022-10-22 14:53:9
8545,41,200035,1,2022-10-26 17:3:22
5243,39,300043,1,2022-08-30 18:45:18
5241,39,300043,1,2022-08-30 18:37:5
5242,39,300043,1,2022-08-30 18:39:47
4798,38,300046,1,2022-08-25 14:16:11
4799,38,300046,1,2022-08-25 14:16:53
4796,38,300046,1,2022-08-25 14:13:16
4797,38,300046,1,2022-08-25 14:14:22
5933,1,600084,1,2022-09-13 9:25:4
15803,63,600096,1,2023-01-28 12:42:27
15801,63,600096,1,2023-01-28 12:42:24
15802,63,600096,1,2023-01-28 12:42:25
15804,63,600096,1,2023-01-28 12:42:44
9510,49,600101,1,2022-11-08 14:12:34
5612,40,800127,1,2022-09-06 15:25:21
4590,38,800127,1,2022-08-22 8:25:1
5610,40,800127,1,2022-09-06 14:57:30
9454,44,900146,1,2022-11-07 15:48:24
9452,49,900146,1,2022-11-07 15:38:26
12975,59,900146,1,2022-12-26 10:58:56
9455,44,900146,1,2022-11-07 15:48:27
13812,60,900146,1,2023-01-03 14:41:57
4131,37,900146,1,2022-08-16 14:0:38
9065,48,900146,1,2022-11-01 16:10:32
9451,49,900146,1,2022-11-07 15:36:59
17223,67,900146,1,2023-02-14 11:44:13
4130,31,900146,1,2022-08-16 13:29:52
10437,51,900146,1,2022-11-21 10:44:54
4129,32,900146,1,2022-08-16 13:23:11
2456,31,900150,1,2022-07-15 8:59:36
2454,31,900150,1,2022-07-15 8:54:54
2842,33,900150,1,2022-07-23 8:36:52
2457,31,900150,1,2022-07-15 8:59:46
2844,33,900150,1,2022-07-23 8:37:34
2452,31,900150,1,2022-07-15 8:53:44
2843,33,900150,1,2022-07-23 8:37:31
2453,31,900150,1,2022-07-15 8:54:35
2455,31,900150,1,2022-07-15 8:59:26
13816,52,1200203,1,2023-01-03 14:47:3
13219,59,1200203,1,2022-12-27 14:44:1
13814,53,1200203,1,2023-01-03 14:43:25
13813,53,1200203,1,2023-01-03 14:43:25
13215,42,1200203,1,2022-12-27 14:27:31
13216,42,1200203,1,2022-12-27 14:27:55
13224,58,1200203,1,2022-12-27 15:6:57
5402,39,1200203,1,2022-09-01 8:18:58
13223,58,1200203,1,2022-12-27 15:6:56
13809,58,1200203,1,2023-01-03 14:32:44
13220,59,1200203,1,2022-12-27 14:45:10
5404,37,1200203,1,2022-09-01 8:42:0
13218,59,1200203,1,2022-12-27 14:43:53
13221,59,1200203,1,2022-12-27 14:51:51
13807,60,1200203,1,2023-01-03 14:27:14
5403,38,1200203,1,2022-09-01 8:41:43
13817,47,1200203,1,2023-01-03 14:50:15
13810,58,1200203,1,2023-01-03 14:32:45
13222,59,1200203,1,2022-12-27 14:51:54
13818,47,1200203,1,2023-01-03 14:50:15
5405,36,1200203,1,2022-09-01 8:42:13
13815,52,1200203,1,2023-01-03 14:47:3
13217,59,1200203,1,2022-12-27 14:43:42
13808,60,1200203,1,2023-01-03 14:27:14
8950,48,10100026,1,2022-10-31 13:50:7
8954,48,10100026,1,2022-10-31 13:51:9
8959,48,10100026,1,2022-10-31 14:19:37
3980,37,10100026,1,2022-08-12 16:22:29
8953,48,10100026,1,2022-10-31 13:50:57
6941,43,10100026,1,2022-09-30 16:38:42
12192,58,10100026,1,2022-12-14 16:32:35
12214,58,10100026,1,2022-12-15 8:36:15
4613,38,10100026,1,2022-08-22 9:36:55
9421,49,10100026,1,2022-11-07 9:39:33
6940,43,10100026,1,2022-09-30 16:38:40
3982,37,10100026,1,2022-08-12 16:23:36
10370,51,10100026,1,2022-11-19 12:31:42
10786,52,10100026,1,2022-11-25 16:10:21
4612,38,10100026,1,2022-08-22 9:34:21
10773,52,10100026,1,2022-11-25 15:46:45
2468,32,10100026,1,2022-07-15 9:50:25
9622,49,10100029,1,2022-11-10 9:20:46
11129,51,10100029,1,2022-12-02 8:56:36
11123,52,10100029,1,2022-12-02 8:33:16
5450,29,10100040,1,2022-09-02 9:35:11
7347,46,10100040,1,2022-10-14 8:59:52
2640,26,10100094,1,2022-07-18 11:53:12
15150,63,10100133,1,2023-01-21 8:15:49
8838,47,10100133,1,2022-10-29 12:11:42
6815,43,10100133,1,2022-09-26 14:57:29
2009,31,10100133,1,2022-07-08 14:26:26
1278,13,10100133,1,2022-06-21 10:8:6
8849,48,10100133,1,2022-10-29 12:44:57
1280,13,10100133,1,2022-06-21 10:9:12
8837,47,10100133,1,2022-10-29 12:11:35
8850,48,10100133,1,2022-10-29 12:46:57
7041,44,10100133,1,2022-10-06 7:38:22
6811,43,10100133,1,2022-09-26 14:26:55
7040,44,10100133,1,2022-10-06 6:59:57
8839,47,10100133,1,2022-10-29 12:11:46
